Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage_Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment
41,Beaudesert,Sep-25,3,1629,0.1,90.1,10,2.6,8,23.7,74.5,52,3.2,43
41,Beaudesert,Sep-25,4,1895,5.7,93.5,9,6.4,2.9,30.9,87.2,64,3.4,122
41,Beaudesert,Sep-25,5,289,-7.1,100,6,5.9,1.7,80,92.7,4,1.4,17
41,Beaudesert,Sep-25,ALL,4559,3.7,88.3,9,4,5.9,27.5,79.4,130,2.9,183
42,Boonah,Sep-25,1,5,150,100,1,0,20,100,80,0,0,0
42,Boonah,Sep-25,2,161,47.7,73.3,7,0,12.4,70,62.7,3,1.9,0
42,Boonah,Sep-25,3,383,12.3,95,9,0.5,10.2,51.3,71.3,8,2.1,2
42,Boonah,Sep-25,4,428,1.4,96.1,9,2.3,6.1,46.2,82.7,23,5.4,10
42,Boonah,Sep-25,5,120,-21.6,99,8,3.3,3.3,0,94.2,14,11.7,4
42,Boonah,Sep-25,ALL,1097,6.8,92.6,9,1.5,8.2,52.2,77,48,4.4,16
43,Caloundra,Sep-25,1,10,400,100,0,0,0,-,100,1,10,0
43,Caloundra,Sep-25,2,342,50.7,88.3,5,0,0,-,99.1,3,0.9,0
43,Caloundra,Sep-25,3,1199,42.1,90.7,12,1.3,0,-,99.1,10,0.8,16
43,Caloundra,Sep-25,4,5768,46.1,69,34,4.8,0,-,97.3,91,1.6,274
43,Caloundra,Sep-25,5,849,-40.5,92.7,43,9.2,0,-,97.1,13,1.5,78
43,Caloundra,Sep-25,ALL,8168,26.7,75.4,24,4.5,0,-,97.6,118,1.4,368
44,Esk,Sep-25,1,6,200,100,1,0,0,-,83.3,0,0,0
44,Esk,Sep-25,2,163,53.8,81,5,0,14.1,52.2,58.9,0,0,0
44,Esk,Sep-25,3,311,16.5,93.5,8,0.6,7.7,70.8,79.7,5,1.6,2
44,Esk,Sep-25,4,423,-7.4,97.6,8,1.7,3.5,73.3,89.8,11,2.6,7
44,Esk,Sep-25,5,173,-25.1,100,7,1.7,1.7,33.3,94.8,1,0.6,3
44,Esk,Sep-25,ALL,1076,1.2,94.2,7,1.1,6,63.1,83,17,1.6,12
45,Gatton,Sep-25,1,14,27.3,100,1,0,0,-,42.9,0,0,0
45,Gatton,Sep-25,2,370,24.2,83.3,5,0.3,10,59.5,69.7,6,1.6,1
45,Gatton,Sep-25,3,929,-7.7,88.8,11,1,6,50,79.8,40,4.3,9
45,Gatton,Sep-25,4,971,-18.2,96.3,10,1.2,2.3,63.6,92.8,47,4.8,12
45,Gatton,Sep-25,5,389,65.5,98.8,9,3.3,2.6,80,94.3,23,5.9,13
45,Gatton,Sep-25,ALL,2673,-2.4,92.1,9,1.3,4.7,57.6,85,116,4.3,35
46,Kilcoy,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
46,Kilcoy,Sep-25,2,41,-47.4,67.5,7,0,4.9,100,78,0,0,0
46,Kilcoy,Sep-25,3,202,4.1,81.2,12,0,10.9,68.2,87.6,5,2.5,0
46,Kilcoy,Sep-25,4,321,-3.3,95.5,12,0.9,5.3,100,95,3,0.9,3
46,Kilcoy,Sep-25,5,165,-36.3,100,10,0.6,1.2,50,97.6,4,2.4,1
46,Kilcoy,Sep-25,ALL,729,-15.6,90.7,11,0.5,5.9,81.4,92.6,12,1.6,4
47,Laidley,Sep-25,1,8,60,100,1,0,0,-,87.5,0,0,0
47,Laidley,Sep-25,2,323,-11.7,65.1,8,0.6,5.6,55.6,67.2,8,2.5,2
47,Laidley,Sep-25,3,664,-13,73.4,17,0.9,4.2,46.4,77.9,43,6.5,6
47,Laidley,Sep-25,4,727,9.7,83.2,17,1.7,3.3,54.2,84.9,56,7.7,12
47,Laidley,Sep-25,5,207,-22.8,96.4,14,6.8,1.9,75,95.2,11,5.3,14
47,Laidley,Sep-25,ALL,1929,-6.6,77.9,14,1.8,3.8,52.7,80.6,118,6.1,34
48,Maleny,Sep-25,1,1,-80,100,0,0,100,100,100,0,0,0
48,Maleny,Sep-25,2,116,8.4,76.7,6,0,12.9,73.3,78.4,2,1.7,0
48,Maleny,Sep-25,3,365,24.6,85.5,10,0.8,11.5,71.4,83.3,6,1.6,3
48,Maleny,Sep-25,4,567,0.2,92.5,14,1.9,5.1,72.4,93.3,7,1.2,11
48,Maleny,Sep-25,5,385,-9.8,98.7,16,2.3,2.3,55.6,97.1,5,1.3,9
48,Maleny,Sep-25,ALL,1434,2.6,90.7,12,1.6,6.7,70.8,90.6,20,1.4,23
49,Nambour,Sep-25,1,37,-14,100,0,0,27,60,43.2,1,2.7,0
49,Nambour,Sep-25,2,2337,0.6,81.8,6,0.1,40.2,32.7,42.3,52,2.2,3
49,Nambour,Sep-25,3,7121,5.6,75.4,15,1.6,33.1,23.9,45.2,346,4.9,114
49,Nambour,Sep-25,4,6277,0.5,77.8,25,4.3,8.4,27.8,75.3,310,4.9,270
49,Nambour,Sep-25,5,1027,-12,95.9,26,5.8,1.4,42.9,96.1,19,1.9,60
49,Nambour,Sep-25,ALL,16799,1.7,78.5,16,2.7,22.9,26.8,59.2,728,4.3,447
61,Biggenden MPHS,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
61,Biggenden MPHS,Sep-25,2,39,34.5,94.9,0,0,69.2,100,97.4,0,0,0
61,Biggenden MPHS,Sep-25,3,85,19.7,96.4,0,0,51.8,97.7,97.6,0,0,0
61,Biggenden MPHS,Sep-25,4,194,-7.6,97.9,0,2.1,14.4,92.9,97.9,1,0.5,4
61,Biggenden MPHS,Sep-25,5,134,16.5,100,0,2.2,3,100,99.3,0,0,3
61,Biggenden MPHS,Sep-25,ALL,452,6.1,98,0,1.5,22.8,97.1,98.2,1,0.2,7
62,Bundaberg,Sep-25,1,55,34.1,100,0,0,56.4,29,29.1,2,3.6,0
62,Bundaberg,Sep-25,2,2178,0.9,58.7,9,1.1,44.9,18.8,27.9,178,8.2,23
62,Bundaberg,Sep-25,3,5930,1.5,39.3,44,6.7,32.4,9.8,31,828,14,396
62,Bundaberg,Sep-25,4,3289,3,58.7,45,11.4,9.7,15.7,61,348,10.6,376
62,Bundaberg,Sep-25,5,340,-11.5,89,25,17.4,2.9,20,80.6,29,8.5,59
62,Bundaberg,Sep-25,ALL,11792,1.5,49.8,33,7.2,27.6,13.3,40.2,1385,11.7,854
63,Cherbourg,Sep-25,1,4,300,100,0,0,25,100,75,0,0,0
63,Cherbourg,Sep-25,2,69,-28.1,80.6,2,2.9,13,66.7,62.3,2,2.9,2
63,Cherbourg,Sep-25,3,327,1.6,78,9,4,15.6,74.5,81.3,16,4.9,13
63,Cherbourg,Sep-25,4,753,18.6,81.4,18,10.1,3.9,55.2,91.6,17,2.3,76
63,Cherbourg,Sep-25,5,498,22.7,96.2,26,12.7,2,70,96.2,13,2.6,63
63,Cherbourg,Sep-25,ALL,1651,13.1,84.3,16,9.3,6.1,68,89.7,48,2.9,154
64,Childers,Sep-25,1,23,360,100,0,0,69.6,100,91.3,0,0,0
64,Childers,Sep-25,2,135,37.8,92.5,0,0.7,50.4,95.6,96.3,1,0.7,1
64,Childers,Sep-25,3,396,-7.7,90.6,0,0.8,31.8,92.1,95.2,1,0.3,3
64,Childers,Sep-25,4,450,-16.2,94.6,0,1.6,12.7,94.7,98,1,0.2,7
64,Childers,Sep-25,5,252,44.8,98.7,0,4.8,1.6,100,96.4,0,0,12
64,Childers,Sep-25,ALL,1256,1,93.9,0,1.8,21.6,94.1,96.5,3,0.2,23
65,Eidsvold MPHS,Sep-25,1,1,0,100,0,0,100,100,100,0,0,0
65,Eidsvold MPHS,Sep-25,2,12,71.4,100,0,0,50,100,100,1,8.3,0
65,Eidsvold MPHS,Sep-25,3,37,-2.6,97.3,0,0,45.9,100,97.3,0,0,0
65,Eidsvold MPHS,Sep-25,4,36,-32.1,100,0,2.8,19.4,100,100,0,0,1
65,Eidsvold MPHS,Sep-25,5,33,-37.7,100,0,6.1,3,100,100,0,0,2
65,Eidsvold MPHS,Sep-25,ALL,119,-21.7,99.1,0,2.5,26.9,100,99.2,1,0.8,3
66,Gayndah,Sep-25,1,4,-,100,0,0,100,100,100,0,0,0
66,Gayndah,Sep-25,2,74,-12.9,97.2,0,1.4,63.5,97.9,91.9,0,0,1
66,Gayndah,Sep-25,3,155,-14.8,100,0,0.6,43.9,98.5,98.7,0,0,1
66,Gayndah,Sep-25,4,169,0,99.4,0,2.4,15.4,100,95.9,2,1.2,4
66,Gayndah,Sep-25,5,109,7.9,100,0,5.5,4.6,100,94.5,1,0.9,6
66,Gayndah,Sep-25,ALL,511,-4.8,99.4,0,2.3,29.4,98.7,95.9,3,0.6,12
67,Gin Gin,Sep-25,1,0,-,-,-,-,-,-,-,0,-,0
67,Gin Gin,Sep-25,2,49,8.9,93.9,0,0,32.7,100,98,3,6.1,0
67,Gin Gin,Sep-25,3,193,8.4,95.3,0,0,31.6,100,97.9,5,2.6,0
67,Gin Gin,Sep-25,4,409,1.5,96.5,5,2.4,13.7,100,99,3,0.7,10
67,Gin Gin,Sep-25,5,310,-30.6,100,7,3.5,6.8,100,100,4,1.3,11
67,Gin Gin,Sep-25,ALL,961,-10.4,97.2,5,2.2,16,100,99.1,15,1.6,21
68,Gympie,Sep-25,1,46,12.2,100,0,0,41.3,15.8,32.6,2,4.3,0
68,Gympie,Sep-25,2,1471,13,84.8,6,0.1,43.5,39.8,50.3,35,2.4,1
68,Gympie,Sep-25,3,3832,7.2,75.7,15,1.3,26.5,28.1,53.7,243,6.3,48
68,Gympie,Sep-25,4,3120,-12.5,86.2,19,3.3,7.7,31.3,78.7,222,7.1,102
68,Gympie,Sep-25,5,324,-16.9,97.3,17,4,1.9,50,93.2,17,5.2,13
68,Gympie,Sep-25,ALL,8793,-0.9,81.7,13,1.9,21.8,32.3,63.3,519,5.9,164
69,Hervey Bay,Sep-25,1,82,26.2,100,0,0,68.3,32.1,32.9,2,2.4,0
69,Hervey Bay,Sep-25,2,2126,15.2,83.9,5,0,57.1,29.8,35.3,53,2.5,1
69,Hervey Bay,Sep-25,3,5388,2.9,35.5,53,5.3,42.6,17.2,33.9,361,6.7,283
69,Hervey Bay,Sep-25,4,3369,-19.7,42.9,81,11.3,21.8,17.7,50.5,287,8.5,381
69,Hervey Bay,Sep-25,5,313,-32.7,71.2,41,16.9,3.8,33.3,76,16,5.1,53
69,Hervey Bay,Sep-25,ALL,11278,-4.5,48.9,36,6.4,38.2,21.1,40.3,719,6.4,718
70,Kingaroy,Sep-25,1,37,-35.1,100,0,0,29.7,9.1,29.7,0,0,0
70,Kingaroy,Sep-25,2,837,-6.8,49.1,11,0.7,38.1,29.8,38.7,25,3,6
70,Kingaroy,Sep-25,3,2284,15.2,59,24,2.5,22.2,26.6,54.2,85,3.7,56
70,Kingaroy,Sep-25,4,2211,0.8,67.6,33,4.3,4.4,36.1,79.4,99,4.5,95
70,Kingaroy,Sep-25,5,665,-28.1,89.8,25,6.3,1.4,55.6,91.1,17,2.6,42
70,Kingaroy,Sep-25,ALL,6034,-0.4,64,24,3.3,15.6,28.7,65.2,226,3.7,199
71,Maryborough,Sep-25,1,41,-25.5,100,0,0,22,33.3,58.5,0,0,0
71,Maryborough,Sep-25,2,1062,-7.2,81.4,6,0.2,41.1,65.9,58.2,15,1.4,2
71,Maryborough,Sep-25,3,2487,-4.2,50.2,30,2.9,31,53.8,59.1,95,3.8,71
71,Maryborough,Sep-25,4,2598,-8.1,55.8,50,8.5,10.8,46.6,75.9,121,4.7,222
71,Maryborough,Sep-25,5,242,-15.7,86.9,19,16.5,3.3,75,89.7,5,2.1,40
71,Maryborough,Sep-25,ALL,6430,-6.9,59.4,26,5.2,23.4,55.9,66.9,236,3.7,335
72,Monto,Sep-25,1,1,-,100,0,0,100,100,100,0,0,0
72,Monto,Sep-25,2,39,14.7,97.4,0,0,82.1,100,97.4,1,2.6,0
72,Monto,Sep-25,3,104,38.7,99,0,0,55.8,100,100,2,1.9,0
72,Monto,Sep-25,4,205,30.6,97.1,0,0.5,23.9,100,99,2,1,1
72,Monto,Sep-25,5,104,26.8,100,0,2.9,11.5,100,100,2,1.9,3
72,Monto,Sep-25,ALL,453,30.2,98.2,0,0.9,33.6,100,99.3,7,1.5,4
74,Mundubbera MPHS,Sep-25,1,2,100,100,0,0,100,100,100,0,0,0
74,Mundubbera MPHS,Sep-25,2,22,120,100,0,0,68.2,100,100,0,0,0
74,Mundubbera MPHS,Sep-25,3,64,36.2,100,0,0,34.4,95.5,98.4,1,1.6,0
74,Mundubbera MPHS,Sep-25,4,88,3.5,100,0,1.1,15.9,100,100,0,0,1
74,Mundubbera MPHS,Sep-25,5,31,29.2,100,0,0,0,-,100,0,0,0
74,Mundubbera MPHS,Sep-25,ALL,207,24,100,0,0.5,25.6,98.1,99.5,1,0.5,1
75,Murgon,Sep-25,1,3,-25,100,0,0,0,-,100,0,0,0
75,Murgon,Sep-25,2,89,14.1,76.4,1,0,19.1,76.5,68.5,3,3.4,0
75,Murgon,Sep-25,3,277,-4.5,84.1,5,3.6,15.5,79.1,80.1,7,2.5,10
75,Murgon,Sep-25,4,459,-18.6,93.5,8,9.2,5.2,70.8,91.5,2,0.4,42
75,Murgon,Sep-25,5,263,1.9,97.4,10,7.2,1.1,100,96.6,1,0.4,19
75,Murgon,Sep-25,ALL,1091,-8.6,90.1,6,6.5,8,77,88,13,1.2,71
76,Nanango,Sep-25,1,1,-66.7,100,1,0,0,-,0,0,0,0
76,Nanango,Sep-25,2,31,-13.9,83.9,0,0,0,-,80.6,2,6.5,0
76,Nanango,Sep-25,3,54,-27,92.3,2,3.7,1.9,100,79.6,1,1.9,2
76,Nanango,Sep-25,4,301,-15.4,93.3,8,2.7,0.7,100,95.7,0,0,8
76,Nanango,Sep-25,5,337,-47.8,98.9,8,3.6,0,-,98.8,1,0.3,12
76,Nanango,Sep-25,ALL,724,-35.1,94.6,6,3,0.4,100,95.2,4,0.6,22
91,Chinchilla,Sep-25,1,10,100,100,0,0,40,50,70,0,0,0
91,Chinchilla,Sep-25,2,188,22.1,69.9,6,1.1,50,85.1,83,0,0,2
91,Chinchilla,Sep-25,3,525,19,78.5,14,1.3,26.3,87,90.9,4,0.8,7
91,Chinchilla,Sep-25,4,1171,15.1,86.6,19,4,7.7,85.6,96.1,1,0.1,47
91,Chinchilla,Sep-25,5,992,-15.2,97.8,16,3.5,2.4,91.7,98.2,1,0.1,35
91,Chinchilla,Sep-25,ALL,2886,3.6,86.4,16,3.2,12.1,86,94.9,6,0.2,91
92,Dalby,Sep-25,1,8,-20,100,0,0,25,50,62.5,0,0,0
92,Dalby,Sep-25,2,490,-0.6,46.9,11,0,46.9,76.1,72.9,9,1.8,0
92,Dalby,Sep-25,3,1348,-11.4,48.7,32,2.4,26.3,64.8,75.2,11,0.8,33
92,Dalby,Sep-25,4,1532,12,57.4,49,9.5,7.9,70.2,86.4,3,0.2,146
92,Dalby,Sep-25,5,441,-19.2,88.6,30,11.6,2.9,53.8,92.5,2,0.5,51
92,Dalby,Sep-25,ALL,3819,-3,55.9,33,6,18.9,69.1,81.4,25,0.7,230
93,Goondiwindi,Sep-25,1,4,-20,100,0,0,50,100,50,0,0,0
93,Goondiwindi,Sep-25,2,264,88.6,76,3,0,51.5,72.1,74.6,4,1.5,0
93,Goondiwindi,Sep-25,3,797,39.3,83.7,9,2.6,24.1,73.4,85.3,2,0.3,21
93,Goondiwindi,Sep-25,4,1241,-26.2,88.8,12,7.3,3.8,70.2,91.2,4,0.3,91
93,Goondiwindi,Sep-25,5,488,-24.5,97.5,15,7.2,1,80,98.2,1,0.2,35
93,Goondiwindi,Sep-25,ALL,2794,-8.2,87.4,10,5.3,13.7,72.8,89.1,11,0.4,147
95,Jandowae,Sep-25,1,2,0,100,0,0,50,100,100,0,0,0
95,Jandowae,Sep-25,2,44,57.1,88.4,0,2.3,40.9,100,97.7,2,4.5,1
95,Jandowae,Sep-25,3,140,38.6,94.2,0,0.7,19.3,100,98.6,1,0.7,1
95,Jandowae,Sep-25,4,203,-22.8,97.8,1,1,2,100,99,2,1,2
95,Jandowae,Sep-25,5,202,-4.7,100,0,0.5,5,100,100,0,0,1
95,Jandowae,Sep-25,ALL,591,-2.5,96.5,0,0.8,10.2,100,99.2,5,0.8,5
97,Miles,Sep-25,1,2,-,100,0,0,100,100,100,0,0,0
97,Miles,Sep-25,2,64,23.1,84.4,1,0,40.6,80.8,90.6,4,6.3,0
97,Miles,Sep-25,3,197,-4.4,91.7,3,1.5,32,93.7,89.3,4,2,3
97,Miles,Sep-25,4,379,0.8,94.1,10,2.6,11.1,88.1,95.3,0,0,10
97,Miles,Sep-25,5,398,-21.3,97.1,15,2.8,6,91.7,98.2,4,1,11
97,Miles,Sep-25,ALL,1040,-8.8,93.8,8,2.3,15.1,89.8,95,12,1.2,24
98,Millmerran,Sep-25,1,2,-50,100,0,0,0,-,0,0,0,0
98,Millmerran,Sep-25,2,90,15.4,95.6,0,0,25.6,78.3,81.1,1,1.1,0
98,Millmerran,Sep-25,3,226,5.6,96,0,0.9,18.1,80.5,85,1,0.4,2
98,Millmerran,Sep-25,4,215,-22.9,96.9,0,7.9,1.9,100,96.3,2,0.9,17
98,Millmerran,Sep-25,5,181,2.8,99.3,0,5,5,100,98.3,0,0,9
98,Millmerran,Sep-25,ALL,714,-4.9,97,0,3.9,10.8,83.1,91,4,0.6,28
99,Oakey,Sep-25,1,0,-,-,-,-,-,-,-,0,-,0
99,Oakey,Sep-25,2,20,-35.5,100,1,0,20,100,85,1,5,0
99,Oakey,Sep-25,3,198,-18.5,95.9,4,1,21.7,95.3,93.9,2,1,2
99,Oakey,Sep-25,4,346,2.4,97.6,5,2.3,5.8,85,96.5,2,0.6,8
99,Oakey,Sep-25,5,135,-3.6,100,3,4.4,0.7,100,99.3,0,0,6
99,Oakey,Sep-25,ALL,699,-7,97.6,5,2.3,9.7,92.6,96,5,0.7,16
100,Stanthorpe,Sep-25,1,14,366.7,100,0,0,35.7,80,64.3,0,0,0
100,Stanthorpe,Sep-25,2,341,4.9,86.5,2,0,41.1,61.4,69.2,3,0.9,0
100,Stanthorpe,Sep-25,3,835,23.3,86.5,5,2.8,22.6,61.4,84.8,2,0.2,23
100,Stanthorpe,Sep-25,4,864,4.3,90.5,6,6.8,5.2,60,91.9,8,0.9,59
100,Stanthorpe,Sep-25,5,469,8.1,98.9,2,6.4,1.9,100,97.9,1,0.2,30
100,Stanthorpe,Sep-25,ALL,2523,11.3,89.9,4,4.4,15.4,62.4,87.4,14,0.6,112
101,Tara,Sep-25,1,7,75,100,0,0,42.9,100,85.7,0,0,0
101,Tara,Sep-25,2,117,23.2,92.3,0,0,31.6,78.4,79.5,5,4.3,0
101,Tara,Sep-25,3,258,-4.1,94.5,0,0.8,16.3,85.7,88,5,1.9,2
101,Tara,Sep-25,4,309,-13.4,97,0,1.6,6.1,84.2,96.8,4,1.3,5
101,Tara,Sep-25,5,680,16.4,99.6,2,2.2,0.9,100,99.1,2,0.3,15
101,Tara,Sep-25,ALL,1371,4.7,97,0,1.6,7.8,84.1,94.7,16,1.2,22
102,Taroom,Sep-25,1,0,-,-,-,-,-,-,-,0,-,0
102,Taroom,Sep-25,2,24,4.3,95.8,0,0,41.7,100,95.8,0,0,0
102,Taroom,Sep-25,3,52,0,98.1,0,0,40.4,100,96.2,0,0,0
102,Taroom,Sep-25,4,124,8.8,100,0,0,6.5,100,100,0,0,0
102,Taroom,Sep-25,5,369,3.4,99.2,3,0.5,0.3,100,100,0,0,2
102,Taroom,Sep-25,ALL,569,4.2,99.1,1,0.4,7,100,99.5,0,0,2
103,Texas,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
103,Texas,Sep-25,2,14,16.7,85.7,0,0,35.7,60,71.4,0,0,0
103,Texas,Sep-25,3,60,5.3,93.1,0,3.3,23.3,57.1,83.3,0,0,2
103,Texas,Sep-25,4,93,-26.8,96.7,0,2.2,6.5,33.3,90.3,0,0,2
103,Texas,Sep-25,5,284,32.7,99.1,10,0,0,-,98.9,0,0,0
103,Texas,Sep-25,ALL,451,9.7,96.3,4,0.9,5.5,52,94.2,0,0,4
104,Toowoomba,Sep-25,1,200,13.6,100,0,0,69.5,16.5,21,1,0.5,0
104,Toowoomba,Sep-25,2,4290,19.7,49.4,11,0.3,50.1,26.2,35,146,3.4,14
104,Toowoomba,Sep-25,3,8814,2.8,46.3,35,4.3,35.2,29.4,42.7,996,11.3,376
104,Toowoomba,Sep-25,4,2453,-9.8,63.2,38,8.6,13.5,33.3,62.7,342,13.9,212
